421620;306000;0;0;236666;0
420510;48000;14250;17264;32420;0
420470;96000;14250;17264;84292;0
420450;114000;28500;12028;58356;0
421580;388110;0;146049;301506;0
421570;319200;71250;90383;152374;0
421330;52000;16750;9021;38904;0
421130;645636;0;113061;233424;0
420005;26000;0;6014;22694;5000
421225;92742;0;17264;55114;0
420680;48000;14250;17264;19452;0
420125;130000;14250;29292;81050;0
420500;156000;0;72576;126438;0
420195;71826;28500;35306;71324;0
